,Proto-Indo-European Root,Persian Word,Albanian Word,Proto-Indo-European URL,Persian URL,Albanian URL
29,*dʰer-,داشتن,dhre,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/d%CA%B0er-,https://en.wiktionary.org/wiki/%D8%AF%D8%A7%D8%B4%D8%AA%D9%86,https://en.wiktionary.org/wiki/dhre
30,*dʰégʷʰeti,داغ,djeg,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/d%CA%B0%C3%A9g%CA%B7%CA%B0eti,https://en.wiktionary.org/wiki/%D8%AF%D8%A7%D8%BA,https://en.wiktionary.org/wiki/djeg
31,*dwóh₁,دو,dy,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/dw%C3%B3h%E2%82%81,https://en.wiktionary.org/wiki/%D8%AF%D9%88,https://en.wiktionary.org/wiki/dy
32,*dʰuh₂mós,دود,tym,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/d%CA%B0uh%E2%82%82m%C3%B3s,https://en.wiktionary.org/wiki/%D8%AF%D9%88%D8%AF,https://en.wiktionary.org/wiki/tym
33,*dʰew-,دویدن,dejë,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/d%CA%B0ew-#Proto-Indo-European-run,https://en.wiktionary.org/wiki/%D8%AF%D9%88%DB%8C%D8%AF%D9%86,https://en.wiktionary.org/wiki/dej%C3%AB
34,*dʰegʷʰ-,دژن,dhez,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/d%CA%B0eg%CA%B7%CA%B0-,https://en.wiktionary.org/wiki/%D8%AF%DA%98%D9%86,https://en.wiktionary.org/wiki/dhez
35,*dwóh₁,دیگر,dy,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/dw%C3%B3h%E2%82%81,https://en.wiktionary.org/wiki/%D8%AF%DB%8C%DA%AF%D8%B1,https://en.wiktionary.org/wiki/dy
36,*lewk-,رخشیدن,lakuriq,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/lewk-,https://en.wiktionary.org/wiki/%D8%B1%D8%AE%D8%B4%DB%8C%D8%AF%D9%86,https://en.wiktionary.org/wiki/lakuriq
37,*lewk-,رخشیدن,lekë,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/lewk-,https://en.wiktionary.org/wiki/%D8%B1%D8%AE%D8%B4%DB%8C%D8%AF%D9%86,https://en.wiktionary.org/wiki/lek%C3%AB
38,*lewk-,رخشیدن,loqe,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/lewk-,https://en.wiktionary.org/wiki/%D8%B1%D8%AE%D8%B4%DB%8C%D8%AF%D9%86,https://en.wiktionary.org/wiki/loqe
39,*lewk-,رشت,lakuriq,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/lewk-,https://en.wiktionary.org/wiki/%D8%B1%D8%B4%D8%AA,https://en.wiktionary.org/wiki/lakuriq
40,*lewk-,رشت,lekë,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/lewk-,https://en.wiktionary.org/wiki/%D8%B1%D8%B4%D8%AA,https://en.wiktionary.org/wiki/lek%C3%AB
41,*lewk-,رشت,loqe,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/lewk-,https://en.wiktionary.org/wiki/%D8%B1%D8%B4%D8%AA,https://en.wiktionary.org/wiki/loqe
42,*h₃rew-,رمبیدن,rashë,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%83rew-,https://en.wiktionary.org/wiki/%D8%B1%D9%85%D8%A8%DB%8C%D8%AF%D9%86,https://en.wiktionary.org/wiki/rash%C3%AB
43,*h₁rewdʰ-,رودنگ,pruth,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%81rewd%CA%B0-,https://en.wiktionary.org/wiki/%D8%B1%D9%88%D8%AF%D9%86%DA%AF,https://en.wiktionary.org/wiki/pruth
44,*lewk-,روزگار,lakuriq,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/lewk-,https://en.wiktionary.org/wiki/%D8%B1%D9%88%D8%B2%DA%AF%D8%A7%D8%B1,https://en.wiktionary.org/wiki/lakuriq
45,*lewk-,روزگار,lekë,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/lewk-,https://en.wiktionary.org/wiki/%D8%B1%D9%88%D8%B2%DA%AF%D8%A7%D8%B1,https://en.wiktionary.org/wiki/lek%C3%AB
46,*lewk-,روزگار,loqe,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/lewk-,https://en.wiktionary.org/wiki/%D8%B1%D9%88%D8%B2%DA%AF%D8%A7%D8%B1,https://en.wiktionary.org/wiki/loqe
47,*h₁rewdʰ-,روناس,pruth,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%81rewd%CA%B0-,https://en.wiktionary.org/wiki/%D8%B1%D9%88%D9%86%D8%A7%D8%B3,https://en.wiktionary.org/wiki/pruth
48,*ǵerh₂-,زال,grua,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/%C7%B5erh%E2%82%82-,https://en.wiktionary.org/wiki/%D8%B2%D8%A7%D9%84,https://en.wiktionary.org/wiki/grua
49,*ǵerh₂-,زرمان,grua,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/%C7%B5erh%E2%82%82-,https://en.wiktionary.org/wiki/%D8%B2%D8%B1%D9%85%D8%A7%D9%86,https://en.wiktionary.org/wiki/grua
50,*gʷeyh₃-,زیستن,nxit,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/g%CA%B7eyh%E2%82%83-,https://en.wiktionary.org/wiki/%D8%B2%DB%8C%D8%B3%D8%AA%D9%86,https://en.wiktionary.org/wiki/nxit
51,Proto-Indo-European,سام,gjalpë,https://en.wiktionary.orghttps://en.wikipedia.org/wiki/Proto-Indo-European_language,https://en.wiktionary.org/wiki/%D8%B3%D8%A7%D9%85,https://en.wiktionary.org/wiki/gjalp%C3%AB
52,Proto-Indo-European,سام,shat,https://en.wiktionary.orghttps://en.wikipedia.org/wiki/Proto-Indo-European_language,https://en.wiktionary.org/wiki/%D8%B3%D8%A7%D9%85,https://en.wiktionary.org/wiki/shat
53,*ḱerh₂-,سر,cërij,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/%E1%B8%B1erh%E2%82%82-,https://en.wiktionary.org/wiki/%D8%B3%D8%B1,https://en.wiktionary.org/wiki/c%C3%ABrij
54,*ḱerh₂-,سر,thërrime,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/%E1%B8%B1erh%E2%82%82-,https://en.wiktionary.org/wiki/%D8%B3%D8%B1,https://en.wiktionary.org/wiki/th%C3%ABrrime
55,*ḱerh₂-,سرنا,cërij,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/%E1%B8%B1erh%E2%82%82-,https://en.wiktionary.org/wiki/%D8%B3%D8%B1%D9%86%D8%A7,https://en.wiktionary.org/wiki/c%C3%ABrij
56,*ḱerh₂-,سرنا,thërrime,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/%E1%B8%B1erh%E2%82%82-,https://en.wiktionary.org/wiki/%D8%B3%D8%B1%D9%86%D8%A7,https://en.wiktionary.org/wiki/th%C3%ABrrime
57,*trewd-,سست,ndrydh,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/trewd-,https://en.wiktionary.org/wiki/%D8%B3%D8%B3%D8%AA,https://en.wiktionary.org/wiki/ndrydh
58,*trewd-,سست,tredh,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/trewd-,https://en.wiktionary.org/wiki/%D8%B3%D8%B3%D8%AA,https://en.wiktionary.org/wiki/tredh
59,*h₂eḱ-,سنگ,ath,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%82e%E1%B8%B1-,https://en.wiktionary.org/wiki/%D8%B3%D9%86%DA%AF,https://en.wiktionary.org/wiki/ath
60,*h₂eḱ-,سنگ,athët,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%82e%E1%B8%B1-,https://en.wiktionary.org/wiki/%D8%B3%D9%86%DA%AF,https://en.wiktionary.org/wiki/ath%C3%ABt
61,*h₂eḱ-,سنگ,eh,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%82e%E1%B8%B1-,https://en.wiktionary.org/wiki/%D8%B3%D9%86%DA%AF,https://en.wiktionary.org/wiki/eh
62,*h₂eḱ-,سنگ,thua,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%82e%E1%B8%B1-,https://en.wiktionary.org/wiki/%D8%B3%D9%86%DA%AF,https://en.wiktionary.org/wiki/thua
63,*tréyes,سه,dhrim,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/tr%C3%A9yes,https://en.wiktionary.org/wiki/%D8%B3%D9%87,https://en.wiktionary.org/wiki/dhrim
64,*tréyes,سه,tre,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/tr%C3%A9yes,https://en.wiktionary.org/wiki/%D8%B3%D9%87,https://en.wiktionary.org/wiki/tre
65,*stel-,شتالنگ,gështallë,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/stel-,https://en.wiktionary.org/wiki/%D8%B4%D8%AA%D8%A7%D9%84%D9%86%DA%AF,https://en.wiktionary.org/wiki/g%C3%ABshtall%C3%AB
66,*stel-,شتالنگ,shtall,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/stel-,https://en.wiktionary.org/wiki/%D8%B4%D8%AA%D8%A7%D9%84%D9%86%DA%AF,https://en.wiktionary.org/wiki/shtall
67,*stel-,شتالنگ,shtjell,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/stel-,https://en.wiktionary.org/wiki/%D8%B4%D8%AA%D8%A7%D9%84%D9%86%DA%AF,https://en.wiktionary.org/wiki/shtjell
68,*meh₁-,مات,mas,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/meh%E2%82%81-,https://en.wiktionary.org/wiki/%D9%85%D8%A7%D8%AA,https://en.wiktionary.org/wiki/mas
69,*men-,ماندن,mendje,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/men-,https://en.wiktionary.org/wiki/%D9%85%D8%A7%D9%86%D8%AF%D9%86,https://en.wiktionary.org/wiki/mendje
70,*mḗh₁n̥s,ماه,muaj,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/m%E1%B8%97h%E2%82%81n%CC%A5s,https://en.wiktionary.org/wiki/%D9%85%D8%A7%D9%87,https://en.wiktionary.org/wiki/muaj
71,*médʰyos,میان,mjedër,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/m%C3%A9d%CA%B0yos,https://en.wiktionary.org/wiki/%D9%85%DB%8C%D8%A7%D9%86,https://en.wiktionary.org/wiki/mjed%C3%ABr
72,*h₁nómn̥,نام,emën,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%81n%C3%B3mn%CC%A5,https://en.wiktionary.org/wiki/%D9%86%D8%A7%D9%85,https://en.wiktionary.org/wiki/em%C3%ABn
73,*h₁nómn̥,نام,emër,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%81n%C3%B3mn%CC%A5,https://en.wiktionary.org/wiki/%D9%86%D8%A7%D9%85,https://en.wiktionary.org/wiki/em%C3%ABr
74,*h₂nḗr,نر,njer,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%82n%E1%B8%97r,https://en.wiktionary.org/wiki/%D9%86%D8%B1,https://en.wiktionary.org/wiki/njer
75,*h₂nḗr,نر,njeri,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%82n%E1%B8%97r,https://en.wiktionary.org/wiki/%D9%86%D8%B1,https://en.wiktionary.org/wiki/njeri
76,*nókʷts,نزم,natë,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/n%C3%B3k%CA%B7ts,https://en.wiktionary.org/wiki/%D9%86%D8%B2%D9%85,https://en.wiktionary.org/wiki/nat%C3%AB
77,*nu,نون,nu,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/nu,https://en.wiktionary.org/wiki/%D9%86%D9%88%D9%86,https://en.wiktionary.org/wiki/nu
78,*solh₂-,هر,gjallë,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/solh%E2%82%82-,https://en.wiktionary.org/wiki/%D9%87%D8%B1,https://en.wiktionary.org/wiki/gjall%C3%AB
79,*oḱtṓw,هشت,tetë,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/o%E1%B8%B1t%E1%B9%93w,https://en.wiktionary.org/wiki/%D9%87%D8%B4%D8%AA,https://en.wiktionary.org/wiki/tet%C3%AB
80,*septḿ̥,هفت,shtatë,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/sept%E1%B8%BF%CC%A5,https://en.wiktionary.org/wiki/%D9%87%D9%81%D8%AA,https://en.wiktionary.org/wiki/shtat%C3%AB
81,*séh₂ls,هلتاک,ngjelmët,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/s%C3%A9h%E2%82%82ls,https://en.wiktionary.org/wiki/%D9%87%D9%84%D8%AA%D8%A7%DA%A9,https://en.wiktionary.org/wiki/ngjelm%C3%ABt
82,*h₂weh₁-,وزیدن,fjur,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%82weh%E2%82%81-,https://en.wiktionary.org/wiki/%D9%88%D8%B2%DB%8C%D8%AF%D9%86,https://en.wiktionary.org/wiki/fjur
83,*weyḱ-,ویس,amvisë,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/wey%E1%B8%B1-,https://en.wiktionary.org/wiki/%D9%88%DB%8C%D8%B3,https://en.wiktionary.org/wiki/amvis%C3%AB
84,*weyḱ-,ویس,vis,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/wey%E1%B8%B1-,https://en.wiktionary.org/wiki/%D9%88%DB%8C%D8%B3,https://en.wiktionary.org/wiki/vis
85,*weyḱ-,ویس,Vitorja,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/wey%E1%B8%B1-,https://en.wiktionary.org/wiki/%D9%88%DB%8C%D8%B3,https://en.wiktionary.org/wiki/Vitorja
86,*pṓds,پا,putër,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/p%E1%B9%93ds,https://en.wiktionary.org/wiki/%D9%BE%D8%A7,https://en.wiktionary.org/wiki/put%C3%ABr
87,*per-,پارسال,pres,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/per-,https://en.wiktionary.org/wiki/%D9%BE%D8%A7%D8%B1%D8%B3%D8%A7%D9%84,https://en.wiktionary.org/wiki/pres
88,*per-,پارسال,prish,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/per-,https://en.wiktionary.org/wiki/%D9%BE%D8%A7%D8%B1%D8%B3%D8%A7%D9%84,https://en.wiktionary.org/wiki/prish
89,*per-,پارسال,prura,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/per-,https://en.wiktionary.org/wiki/%D9%BE%D8%A7%D8%B1%D8%B3%D8%A7%D9%84,https://en.wiktionary.org/wiki/prura
90,*per-,پارسال,shpie,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/per-,https://en.wiktionary.org/wiki/%D9%BE%D8%A7%D8%B1%D8%B3%D8%A7%D9%84,https://en.wiktionary.org/wiki/shpie
91,*per-,پارسال,shpor,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/per-,https://en.wiktionary.org/wiki/%D9%BE%D8%A7%D8%B1%D8%B3%D8%A7%D9%84,https://en.wiktionary.org/wiki/shpor
92,*pṓds,پای,putër,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/p%E1%B9%93ds,https://en.wiktionary.org/wiki/%D9%BE%D8%A7%DB%8C,https://en.wiktionary.org/wiki/put%C3%ABr
93,*per-,پدرام,pres,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/per-,https://en.wiktionary.org/wiki/%D9%BE%D8%AF%D8%B1%D8%A7%D9%85,https://en.wiktionary.org/wiki/pres
94,*per-,پدرام,prish,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/per-,https://en.wiktionary.org/wiki/%D9%BE%D8%AF%D8%B1%D8%A7%D9%85,https://en.wiktionary.org/wiki/prish
95,*per-,پدرام,prura,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/per-,https://en.wiktionary.org/wiki/%D9%BE%D8%AF%D8%B1%D8%A7%D9%85,https://en.wiktionary.org/wiki/prura
96,*per-,پدرام,shpie,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/per-,https://en.wiktionary.org/wiki/%D9%BE%D8%AF%D8%B1%D8%A7%D9%85,https://en.wiktionary.org/wiki/shpie
97,*per-,پدرام,shpor,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/per-,https://en.wiktionary.org/wiki/%D9%BE%D8%AF%D8%B1%D8%A7%D9%85,https://en.wiktionary.org/wiki/shpor
98,Sanskrit,پذیرفتن,samë,https://en.wiktionary.orghttps://en.wikipedia.org/wiki/Sanskrit,https://en.wiktionary.org/wiki/%D9%BE%D8%B0%DB%8C%D8%B1%D9%81%D8%AA%D9%86,https://en.wiktionary.org/wiki/sam%C3%AB
99,Sanskrit,پذیرفتن,argsh,https://en.wiktionary.orghttps://en.wikipedia.org/wiki/Sanskrit,https://en.wiktionary.org/wiki/%D9%BE%D8%B0%DB%8C%D8%B1%D9%81%D8%AA%D9%86,https://en.wiktionary.org/wiki/argsh
100,*per-,پرگار,pres,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/per-,https://en.wiktionary.org/wiki/%D9%BE%D8%B1%DA%AF%D8%A7%D8%B1,https://en.wiktionary.org/wiki/pres
101,*per-,پرگار,prish,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/per-,https://en.wiktionary.org/wiki/%D9%BE%D8%B1%DA%AF%D8%A7%D8%B1,https://en.wiktionary.org/wiki/prish
102,*per-,پرگار,prura,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/per-,https://en.wiktionary.org/wiki/%D9%BE%D8%B1%DA%AF%D8%A7%D8%B1,https://en.wiktionary.org/wiki/prura
103,*per-,پرگار,shpie,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/per-,https://en.wiktionary.org/wiki/%D9%BE%D8%B1%DA%AF%D8%A7%D8%B1,https://en.wiktionary.org/wiki/shpie
104,*per-,پرگار,shpor,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/per-,https://en.wiktionary.org/wiki/%D9%BE%D8%B1%DA%AF%D8%A7%D8%B1,https://en.wiktionary.org/wiki/shpor
105,*pel-,پلم,plah,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/pel-,https://en.wiktionary.org/wiki/%D9%BE%D9%84%D9%85,https://en.wiktionary.org/wiki/plah
106,*bʰleh₃-,پلنجاسپ,blatë,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/b%CA%B0leh%E2%82%83-,https://en.wiktionary.org/wiki/%D9%BE%D9%84%D9%86%D8%AC%D8%A7%D8%B3%D9%BE,https://en.wiktionary.org/wiki/blat%C3%AB
107,*bʰleh₃-,پلنجمشک,blatë,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/b%CA%B0leh%E2%82%83-,https://en.wiktionary.org/wiki/%D9%BE%D9%84%D9%86%D8%AC%D9%85%D8%B4%DA%A9,https://en.wiktionary.org/wiki/blat%C3%AB
108,*(s)kewd-,چست,hedh,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/(s)kewd-,https://en.wiktionary.org/wiki/%DA%86%D8%B3%D8%AA,https://en.wiktionary.org/wiki/hedh
109,Proto-Indo-European,کام,gjalpë,https://en.wiktionary.orghttps://en.wikipedia.org/wiki/Proto-Indo-European_language,https://en.wiktionary.org/wiki/%DA%A9%D8%A7%D9%85,https://en.wiktionary.org/wiki/gjalp%C3%AB
