,Proto-Sino-Tibetan Root,Tibetan Word,Chinese Word,Proto-Sino-Tibetan URL,Tibetan URL,Chinese URL
11,*kl(j)u(ŋ/k),ཀླུང,谷,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/kl(j)u(%C5%8B/k),https://en.wiktionary.org/wiki/%E0%BD%80%E0%BE%B3%E0%BD%B4%E0%BD%84,https://en.wiktionary.org/wiki/%E8%B0%B7
12,*kl(j)u(ŋ/k),ཀླུང་མ,江,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/kl(j)u(%C5%8B/k),https://en.wiktionary.org/wiki/%E0%BD%80%E0%BE%B3%E0%BD%B4%E0%BD%84%E0%BC%8B%E0%BD%98,https://en.wiktionary.org/wiki/%E6%B1%9F
13,*kl(j)u(ŋ/k),ཀླུང་མ,谷,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/kl(j)u(%C5%8B/k),https://en.wiktionary.org/wiki/%E0%BD%80%E0%BE%B3%E0%BD%B4%E0%BD%84%E0%BC%8B%E0%BD%98,https://en.wiktionary.org/wiki/%E8%B0%B7
14,*b-ka-(n/m/ŋ),ཁ་བ,肝,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/b-ka-(n/m/%C5%8B),https://en.wiktionary.org/wiki/%E0%BD%81%E0%BC%8B%E0%BD%96,https://en.wiktionary.org/wiki/%E8%82%9D
15,*tjak ~ g-t(j)ik,གཅིག,隻,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/tjak_~_g-t(j)ik,https://en.wiktionary.org/wiki/%E0%BD%82%E0%BD%85%E0%BD%B2%E0%BD%82,https://en.wiktionary.org/wiki/%E9%9A%BB
16,*l-(t/d)jam,གཏམས,掂,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/l-(t/d)jam,https://en.wiktionary.org/wiki/%E0%BD%82%E0%BD%8F%E0%BD%98%E0%BD%A6,https://en.wiktionary.org/wiki/%E6%8E%82
17,*l-(t/d)jam,གཏམས,斟,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/l-(t/d)jam,https://en.wiktionary.org/wiki/%E0%BD%82%E0%BD%8F%E0%BD%98%E0%BD%A6,https://en.wiktionary.org/wiki/%E6%96%9F
18,*l-(t/d)jam,གཏམས,淫,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/l-(t/d)jam,https://en.wiktionary.org/wiki/%E0%BD%82%E0%BD%8F%E0%BD%98%E0%BD%A6,https://en.wiktionary.org/wiki/%E6%B7%AB
19,*duk ~ tuk,གདུག་པ,毒,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/duk_~_tuk,https://en.wiktionary.org/wiki/%E0%BD%82%E0%BD%91%E0%BD%B4%E0%BD%82%E0%BC%8B%E0%BD%94,https://en.wiktionary.org/wiki/%E6%AF%92
20,*t/duŋ,གཞུང,中,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/t/du%C5%8B,https://en.wiktionary.org/wiki/%E0%BD%82%E0%BD%9E%E0%BD%B4%E0%BD%84,https://en.wiktionary.org/wiki/%E4%B8%AD
21,*g/b-sat,གསོད,殺,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/g/b-sat,https://en.wiktionary.org/wiki/%E0%BD%82%E0%BD%A6%E0%BD%BC%E0%BD%91,https://en.wiktionary.org/wiki/%E6%AE%BA
22,*m/s-glak ~ m-glaŋ,གྲང་མོ,涼,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/m/s-glak_~_m-gla%C5%8B,https://en.wiktionary.org/wiki/%E0%BD%82%E0%BE%B2%E0%BD%84%E0%BC%8B%E0%BD%98%E0%BD%BC,https://en.wiktionary.org/wiki/%E6%B6%BC
23,*glaŋ,གླང,象,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/gla%C5%8B,https://en.wiktionary.org/wiki/%E0%BD%82%E0%BE%B3%E0%BD%84,https://en.wiktionary.org/wiki/%E8%B1%A1
24,*s-njam,ཉམས,念,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/s-njam,https://en.wiktionary.org/wiki/%E0%BD%89%E0%BD%98%E0%BD%A6,https://en.wiktionary.org/wiki/%E5%BF%B5
25,*s-njam,ཉམས,恁,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/s-njam,https://en.wiktionary.org/wiki/%E0%BD%89%E0%BD%98%E0%BD%A6,https://en.wiktionary.org/wiki/%E6%81%81
26,*ŋul ~ (d-)ŋur,དངུལ,銀,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/%C5%8Bul_~_(d-)%C5%8Bur,https://en.wiktionary.org/wiki/%E0%BD%91%E0%BD%84%E0%BD%B4%E0%BD%A3,https://en.wiktionary.org/wiki/%E9%8A%80
27,*duk ~ tuk,དུག,毒,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/duk_~_tuk,https://en.wiktionary.org/wiki/%E0%BD%91%E0%BD%B4%E0%BD%82,https://en.wiktionary.org/wiki/%E6%AF%92
28,*s-nəw,ནུ་མ,乳,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/s-n%C9%99w,https://en.wiktionary.org/wiki/%E0%BD%93%E0%BD%B4%E0%BC%8B%E0%BD%98,https://en.wiktionary.org/wiki/%E4%B9%B3
29,*pʷak,ཕག,豝,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/p%CA%B7ak,https://en.wiktionary.org/wiki/%E0%BD%95%E0%BD%82,https://en.wiktionary.org/wiki/%E8%B1%9D
30,*pljum,བུང་བ,蜂,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/pljum,https://en.wiktionary.org/wiki/%E0%BD%96%E0%BD%B4%E0%BD%84%E0%BC%8B%E0%BD%96,https://en.wiktionary.org/wiki/%E8%9C%82
31,*ma,མ,亡,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/ma,https://en.wiktionary.org/wiki/%E0%BD%98,https://en.wiktionary.org/wiki/%E4%BA%A1
32,*ma,མ,喪,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/ma,https://en.wiktionary.org/wiki/%E0%BD%98,https://en.wiktionary.org/wiki/%E5%96%AA
33,*ma,མ,忘,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/ma,https://en.wiktionary.org/wiki/%E0%BD%98,https://en.wiktionary.org/wiki/%E5%BF%98
34,*ma,མ,無,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/ma,https://en.wiktionary.org/wiki/%E0%BD%98,https://en.wiktionary.org/wiki/%E7%84%A1
35,*ma,མ,荒,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/ma,https://en.wiktionary.org/wiki/%E0%BD%98,https://en.wiktionary.org/wiki/%E8%8D%92
36,*ken ~ m-kjen,མཁྱེན,見,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/ken_~_m-kjen,https://en.wiktionary.org/wiki/%E0%BD%98%E0%BD%81%E0%BE%B1%E0%BD%BA%E0%BD%93,https://en.wiktionary.org/wiki/%E8%A6%8B
37,*muːŋ ~ r/s-muːk,མུག་པ,冒,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/mu%CB%90%C5%8B_~_r/s-mu%CB%90k,https://en.wiktionary.org/wiki/%E0%BD%98%E0%BD%B4%E0%BD%82%E0%BC%8B%E0%BD%94,https://en.wiktionary.org/wiki/%E5%86%92
38,*muːŋ ~ r/s-muːk,མུག་པ,晦,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/mu%CB%90%C5%8B_~_r/s-mu%CB%90k,https://en.wiktionary.org/wiki/%E0%BD%98%E0%BD%B4%E0%BD%82%E0%BC%8B%E0%BD%94,https://en.wiktionary.org/wiki/%E6%99%A6
39,*muːŋ ~ r/s-muːk,མུག་པ,海,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/mu%CB%90%C5%8B_~_r/s-mu%CB%90k,https://en.wiktionary.org/wiki/%E0%BD%98%E0%BD%B4%E0%BD%82%E0%BC%8B%E0%BD%94,https://en.wiktionary.org/wiki/%E6%B5%B7
40,*muːŋ ~ r/s-muːk,མུག་པ,蒙,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/mu%CB%90%C5%8B_~_r/s-mu%CB%90k,https://en.wiktionary.org/wiki/%E0%BD%98%E0%BD%B4%E0%BD%82%E0%BC%8B%E0%BD%94,https://en.wiktionary.org/wiki/%E8%92%99
41,*mej,མེ,火,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/mej,https://en.wiktionary.org/wiki/%E0%BD%98%E0%BD%BA,https://en.wiktionary.org/wiki/%E7%81%AB
42,*mej,མེ,𤈦,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/mej,https://en.wiktionary.org/wiki/%E0%BD%98%E0%BD%BA,https://en.wiktionary.org/wiki/%F0%A4%88%A6
43,*b-tsuŋ,ཙོང,蔥,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/b-tsu%C5%8B,https://en.wiktionary.org/wiki/%E0%BD%99%E0%BD%BC%E0%BD%84,https://en.wiktionary.org/wiki/%E8%94%A5
44,*səj,འཆི,死,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/s%C9%99j,https://en.wiktionary.org/wiki/%E0%BD%A0%E0%BD%86%E0%BD%B2,https://en.wiktionary.org/wiki/%E6%AD%BB
45,*tak ~ dak,འཐག,織,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/tak_~_dak,https://en.wiktionary.org/wiki/%E0%BD%A0%E0%BD%90%E0%BD%82,https://en.wiktionary.org/wiki/%E7%B9%94
46,*ba,འབའ,北,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/ba,https://en.wiktionary.org/wiki/%E0%BD%A0%E0%BD%96%E0%BD%A0,https://en.wiktionary.org/wiki/%E5%8C%97
47,*ba,འབའ,背,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/ba,https://en.wiktionary.org/wiki/%E0%BD%A0%E0%BD%96%E0%BD%A0,https://en.wiktionary.org/wiki/%E8%83%8C
48,*ba,འབའ,負,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/ba,https://en.wiktionary.org/wiki/%E0%BD%A0%E0%BD%96%E0%BD%A0,https://en.wiktionary.org/wiki/%E8%B2%A0
49,*s-wa-ŋ,འོང,往,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/s-wa-%C5%8B,https://en.wiktionary.org/wiki/%E0%BD%A0%E0%BD%BC%E0%BD%84,https://en.wiktionary.org/wiki/%E5%BE%80
50,*hwaŋ,ཡོང,光,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/hwa%C5%8B,https://en.wiktionary.org/wiki/%E0%BD%A1%E0%BD%BC%E0%BD%84,https://en.wiktionary.org/wiki/%E5%85%89
51,*g-rjum,རྒྱམ་ཚྭ,鹽,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/g-rjum,https://en.wiktionary.org/wiki/%E0%BD%A2%E0%BE%92%E0%BE%B1%E0%BD%98%E0%BC%8B%E0%BD%9A%E0%BE%AD,https://en.wiktionary.org/wiki/%E9%B9%BD
52,*r/g-na,རྣ་བ,耳,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/r/g-na,https://en.wiktionary.org/wiki/%E0%BD%A2%E0%BE%A3%E0%BC%8B%E0%BD%96,https://en.wiktionary.org/wiki/%E8%80%B3
53,*muːŋ ~ r/s-muːk,རྨུ་བ,冒,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/mu%CB%90%C5%8B_~_r/s-mu%CB%90k,https://en.wiktionary.org/wiki/%E0%BD%A2%E0%BE%A8%E0%BD%B4%E0%BC%8B%E0%BD%96,https://en.wiktionary.org/wiki/%E5%86%92
54,*muːŋ ~ r/s-muːk,རྨུ་བ,晦,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/mu%CB%90%C5%8B_~_r/s-mu%CB%90k,https://en.wiktionary.org/wiki/%E0%BD%A2%E0%BE%A8%E0%BD%B4%E0%BC%8B%E0%BD%96,https://en.wiktionary.org/wiki/%E6%99%A6
55,*muːŋ ~ r/s-muːk,རྨུ་བ,海,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/mu%CB%90%C5%8B_~_r/s-mu%CB%90k,https://en.wiktionary.org/wiki/%E0%BD%A2%E0%BE%A8%E0%BD%B4%E0%BC%8B%E0%BD%96,https://en.wiktionary.org/wiki/%E6%B5%B7
56,*muːŋ ~ r/s-muːk,རྨུ་བ,蒙,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/mu%CB%90%C5%8B_~_r/s-mu%CB%90k,https://en.wiktionary.org/wiki/%E0%BD%A2%E0%BE%A8%E0%BD%B4%E0%BC%8B%E0%BD%96,https://en.wiktionary.org/wiki/%E8%92%99
57,*muːŋ ~ r/s-muːk,རྨུགས་པ,冒,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/mu%CB%90%C5%8B_~_r/s-mu%CB%90k,https://en.wiktionary.org/wiki/%E0%BD%A2%E0%BE%A8%E0%BD%B4%E0%BD%82%E0%BD%A6%E0%BC%8B%E0%BD%94,https://en.wiktionary.org/wiki/%E5%86%92
58,*muːŋ ~ r/s-muːk,རྨུགས་པ,晦,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/mu%CB%90%C5%8B_~_r/s-mu%CB%90k,https://en.wiktionary.org/wiki/%E0%BD%A2%E0%BE%A8%E0%BD%B4%E0%BD%82%E0%BD%A6%E0%BC%8B%E0%BD%94,https://en.wiktionary.org/wiki/%E6%99%A6
59,*muːŋ ~ r/s-muːk,རྨུགས་པ,海,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/mu%CB%90%C5%8B_~_r/s-mu%CB%90k,https://en.wiktionary.org/wiki/%E0%BD%A2%E0%BE%A8%E0%BD%B4%E0%BD%82%E0%BD%A6%E0%BC%8B%E0%BD%94,https://en.wiktionary.org/wiki/%E6%B5%B7
60,*muːŋ ~ r/s-muːk,རྨུགས་པ,蒙,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/mu%CB%90%C5%8B_~_r/s-mu%CB%90k,https://en.wiktionary.org/wiki/%E0%BD%A2%E0%BE%A8%E0%BD%B4%E0%BD%82%E0%BD%A6%E0%BC%8B%E0%BD%94,https://en.wiktionary.org/wiki/%E8%92%99
61,*muːŋ ~ r/s-muːk,རྨུས་པ,冒,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/mu%CB%90%C5%8B_~_r/s-mu%CB%90k,https://en.wiktionary.org/wiki/%E0%BD%A2%E0%BE%A8%E0%BD%B4%E0%BD%A6%E0%BC%8B%E0%BD%94,https://en.wiktionary.org/wiki/%E5%86%92
62,*muːŋ ~ r/s-muːk,རྨུས་པ,晦,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/mu%CB%90%C5%8B_~_r/s-mu%CB%90k,https://en.wiktionary.org/wiki/%E0%BD%A2%E0%BE%A8%E0%BD%B4%E0%BD%A6%E0%BC%8B%E0%BD%94,https://en.wiktionary.org/wiki/%E6%99%A6
63,*muːŋ ~ r/s-muːk,རྨུས་པ,海,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/mu%CB%90%C5%8B_~_r/s-mu%CB%90k,https://en.wiktionary.org/wiki/%E0%BD%A2%E0%BE%A8%E0%BD%B4%E0%BD%A6%E0%BC%8B%E0%BD%94,https://en.wiktionary.org/wiki/%E6%B5%B7
64,*muːŋ ~ r/s-muːk,རྨུས་པ,蒙,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/mu%CB%90%C5%8B_~_r/s-mu%CB%90k,https://en.wiktionary.org/wiki/%E0%BD%A2%E0%BE%A8%E0%BD%B4%E0%BD%A6%E0%BC%8B%E0%BD%94,https://en.wiktionary.org/wiki/%E8%92%99
65,*muːŋ ~ r/s-muːk,རྨོང་བ,冒,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/mu%CB%90%C5%8B_~_r/s-mu%CB%90k,https://en.wiktionary.org/wiki/%E0%BD%A2%E0%BE%A8%E0%BD%BC%E0%BD%84%E0%BC%8B%E0%BD%96,https://en.wiktionary.org/wiki/%E5%86%92
66,*muːŋ ~ r/s-muːk,རྨོང་བ,晦,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/mu%CB%90%C5%8B_~_r/s-mu%CB%90k,https://en.wiktionary.org/wiki/%E0%BD%A2%E0%BE%A8%E0%BD%BC%E0%BD%84%E0%BC%8B%E0%BD%96,https://en.wiktionary.org/wiki/%E6%99%A6
67,*muːŋ ~ r/s-muːk,རྨོང་བ,海,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/mu%CB%90%C5%8B_~_r/s-mu%CB%90k,https://en.wiktionary.org/wiki/%E0%BD%A2%E0%BE%A8%E0%BD%BC%E0%BD%84%E0%BC%8B%E0%BD%96,https://en.wiktionary.org/wiki/%E6%B5%B7
68,*muːŋ ~ r/s-muːk,རྨོང་བ,蒙,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/mu%CB%90%C5%8B_~_r/s-mu%CB%90k,https://en.wiktionary.org/wiki/%E0%BD%A2%E0%BE%A8%E0%BD%BC%E0%BD%84%E0%BC%8B%E0%BD%96,https://en.wiktionary.org/wiki/%E8%92%99
69,*l(j)a(k/ŋ),ལེགས,良,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/l(j)a(k/%C5%8B),https://en.wiktionary.org/wiki/%E0%BD%A3%E0%BD%BA%E0%BD%82%E0%BD%A6,https://en.wiktionary.org/wiki/%E8%89%AF
70,*l(j)a(k/ŋ),ལེགས་པ,良,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/l(j)a(k/%C5%8B),https://en.wiktionary.org/wiki/%E0%BD%A3%E0%BD%BA%E0%BD%82%E0%BD%A6%E0%BC%8B%E0%BD%94,https://en.wiktionary.org/wiki/%E8%89%AF
71,*l(j)a(k/ŋ),ལེགས་པོ,良,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/l(j)a(k/%C5%8B),https://en.wiktionary.org/wiki/%E0%BD%A3%E0%BD%BA%E0%BD%82%E0%BD%A6%E0%BC%8B%E0%BD%94%E0%BD%BC,https://en.wiktionary.org/wiki/%E8%89%AF
72,*m/s/g-ljak,ལྗགས,食,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/m/s/g-ljak,https://en.wiktionary.org/wiki/%E0%BD%A3%E0%BE%97%E0%BD%82%E0%BD%A6,https://en.wiktionary.org/wiki/%E9%A3%9F
73,*kl(j)u(ŋ/k),ལྗོངས,江,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/kl(j)u(%C5%8B/k),https://en.wiktionary.org/wiki/%E0%BD%A3%E0%BE%97%E0%BD%BC%E0%BD%84%E0%BD%A6,https://en.wiktionary.org/wiki/%E6%B1%9F
74,*kl(j)u(ŋ/k),ལྗོངས,谷,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/kl(j)u(%C5%8B/k),https://en.wiktionary.org/wiki/%E0%BD%A3%E0%BE%97%E0%BD%BC%E0%BD%84%E0%BD%A6,https://en.wiktionary.org/wiki/%E8%B0%B7
75,*m/s/g-ljak,ལྡག,食,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/m/s/g-ljak,https://en.wiktionary.org/wiki/%E0%BD%A3%E0%BE%A1%E0%BD%82,https://en.wiktionary.org/wiki/%E9%A3%9F
76,*siŋ ~ sik,ཤིང,薪,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/si%C5%8B_~_sik,https://en.wiktionary.org/wiki/%E0%BD%A4%E0%BD%B2%E0%BD%84,https://en.wiktionary.org/wiki/%E8%96%AA
77,*(s/z)a-j,ས,沙,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/(s/z)a-j,https://en.wiktionary.org/wiki/%E0%BD%A6,https://en.wiktionary.org/wiki/%E6%B2%99
78,*muːŋ ~ r/s-muːk,སྨུག་པོ,冒,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/mu%CB%90%C5%8B_~_r/s-mu%CB%90k,https://en.wiktionary.org/wiki/%E0%BD%A6%E0%BE%A8%E0%BD%B4%E0%BD%82%E0%BC%8B%E0%BD%94%E0%BD%BC,https://en.wiktionary.org/wiki/%E5%86%92
79,*muːŋ ~ r/s-muːk,སྨུག་པོ,晦,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/mu%CB%90%C5%8B_~_r/s-mu%CB%90k,https://en.wiktionary.org/wiki/%E0%BD%A6%E0%BE%A8%E0%BD%B4%E0%BD%82%E0%BC%8B%E0%BD%94%E0%BD%BC,https://en.wiktionary.org/wiki/%E6%99%A6
80,*muːŋ ~ r/s-muːk,སྨུག་པོ,海,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/mu%CB%90%C5%8B_~_r/s-mu%CB%90k,https://en.wiktionary.org/wiki/%E0%BD%A6%E0%BE%A8%E0%BD%B4%E0%BD%82%E0%BC%8B%E0%BD%94%E0%BD%BC,https://en.wiktionary.org/wiki/%E6%B5%B7
81,*muːŋ ~ r/s-muːk,སྨུག་པོ,蒙,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/mu%CB%90%C5%8B_~_r/s-mu%CB%90k,https://en.wiktionary.org/wiki/%E0%BD%A6%E0%BE%A8%E0%BD%B4%E0%BD%82%E0%BC%8B%E0%BD%94%E0%BD%BC,https://en.wiktionary.org/wiki/%E8%92%99
