,Proto-Semitic Root,Amharic Word,Arabic Word,Proto-Semitic URL,Amharic URL,Arabic URL
18,*maš-,ምሽት,أمس,https://en.wiktionary.org/wiki/Reconstruction:Proto-Semitic/ma%C5%A1-,https://en.wiktionary.org/wiki/%E1%88%9D%E1%88%BD%E1%89%B5,https://en.wiktionary.org/wiki/%D8%A3%D9%85%D8%B3
19,*maš-,ምሽት,مساء,https://en.wiktionary.org/wiki/Reconstruction:Proto-Semitic/ma%C5%A1-,https://en.wiktionary.org/wiki/%E1%88%9D%E1%88%BD%E1%89%B5,https://en.wiktionary.org/wiki/%D9%85%D8%B3%D8%A7%D8%A1
20,*šamāy-,ሰማይ,سماء,https://en.wiktionary.org/wiki/Reconstruction:Proto-Semitic/%C5%A1am%C4%81y-,https://en.wiktionary.org/wiki/%E1%88%B0%E1%88%9B%E1%8B%AD,https://en.wiktionary.org/wiki/%D8%B3%D9%85%D8%A7%D8%A1
21,*šim-,ስም,اسم,https://en.wiktionary.org/wiki/Reconstruction:Proto-Semitic/%C5%A1im-,https://en.wiktionary.org/wiki/%E1%88%B5%E1%88%9D,https://en.wiktionary.org/wiki/%D8%A7%D8%B3%D9%85
22,*malʾak-,አምላክ,ملأك,https://en.wiktionary.org/wiki/Reconstruction:Proto-Semitic/mal%CA%BEak-,https://en.wiktionary.org/wiki/%E1%8A%A0%E1%88%9D%E1%88%8B%E1%8A%AD,https://en.wiktionary.org/wiki/%D9%85%D9%84%D8%A3%D9%83
23,*ḫamš-,አምስት,خمسة,https://en.wiktionary.org/wiki/Reconstruction:Proto-Semitic/%E1%B8%ABam%C5%A1-,https://en.wiktionary.org/wiki/%E1%8A%A0%E1%88%9D%E1%88%B5%E1%89%B5,https://en.wiktionary.org/wiki/%D8%AE%D9%85%D8%B3%D8%A9
24,*ʾarbaʿ-,አራት,أربعة,https://en.wiktionary.org/wiki/Reconstruction:Proto-Semitic/%CA%BEarba%CA%BF-,https://en.wiktionary.org/wiki/%E1%8A%A0%E1%88%AB%E1%89%B5,https://en.wiktionary.org/wiki/%D8%A3%D8%B1%D8%A8%D8%B9%D8%A9
25,*ʾaḥad-,አንድ,أحد,https://en.wiktionary.org/wiki/Reconstruction:Proto-Semitic/%CA%BEa%E1%B8%A5ad-,https://en.wiktionary.org/wiki/%E1%8A%A0%E1%8A%95%E1%8B%B5,https://en.wiktionary.org/wiki/%D8%A3%D8%AD%D8%AF
26,*pay-,አፍ,فم,https://en.wiktionary.org/wiki/Reconstruction:Proto-Semitic/pay-,https://en.wiktionary.org/wiki/%E1%8A%A0%E1%8D%8D,https://en.wiktionary.org/wiki/%D9%81%D9%85
27,*ḥaraθ-,ኣረሰ,حرث,https://en.wiktionary.org/wiki/Reconstruction:Proto-Semitic/%E1%B8%A5ara%CE%B8-,https://en.wiktionary.org/wiki/%E1%8A%A3%E1%88%A8%E1%88%B0,https://en.wiktionary.org/wiki/%D8%AD%D8%B1%D8%AB
28,*ḥaraθ-,ኣረሰ,خردل,https://en.wiktionary.org/wiki/Reconstruction:Proto-Semitic/%E1%B8%A5ara%CE%B8-,https://en.wiktionary.org/wiki/%E1%8A%A3%E1%88%A8%E1%88%B0,https://en.wiktionary.org/wiki/%D8%AE%D8%B1%D8%AF%D9%84
29,*kalb-,ከልብ,كلب,https://en.wiktionary.org/wiki/Reconstruction:Proto-Semitic/kalb-,https://en.wiktionary.org/wiki/%E1%8A%A8%E1%88%8D%E1%89%A5,https://en.wiktionary.org/wiki/%D9%83%D9%84%D8%A8
30,*zaman-,ዘመን,ز م ن,https://en.wiktionary.org/wiki/Reconstruction:Proto-Semitic/zaman-,https://en.wiktionary.org/wiki/%E1%8B%98%E1%88%98%E1%8A%95,https://en.wiktionary.org/wiki/%D8%B2_%D9%85_%D9%86
31,*zaman-,ዘመን,زمان,https://en.wiktionary.org/wiki/Reconstruction:Proto-Semitic/zaman-,https://en.wiktionary.org/wiki/%E1%8B%98%E1%88%98%E1%8A%95,https://en.wiktionary.org/wiki/%D8%B2%D9%85%D8%A7%D9%86
32,*zaman-,ዘመን,زمن,https://en.wiktionary.org/wiki/Reconstruction:Proto-Semitic/zaman-,https://en.wiktionary.org/wiki/%E1%8B%98%E1%88%98%E1%8A%95,https://en.wiktionary.org/wiki/%D8%B2%D9%85%D9%86
33,*zaman-,ዘመን,مزمن,https://en.wiktionary.org/wiki/Reconstruction:Proto-Semitic/zaman-,https://en.wiktionary.org/wiki/%E1%8B%98%E1%88%98%E1%8A%95,https://en.wiktionary.org/wiki/%D9%85%D8%B2%D9%85%D9%86
34,*dam-,ደም,دم,https://en.wiktionary.org/wiki/Reconstruction:Proto-Semitic/dam-,https://en.wiktionary.org/wiki/%E1%8B%B0%E1%88%9D,https://en.wiktionary.org/wiki/%D8%AF%D9%85
35,*dubb-,ድብ,دب,https://en.wiktionary.org/wiki/Reconstruction:Proto-Semitic/dubb-,https://en.wiktionary.org/wiki/%E1%8B%B5%E1%89%A5,https://en.wiktionary.org/wiki/%D8%AF%D8%A8
36,*ðiʾb-,ጅብ,ذئب,https://en.wiktionary.org/wiki/Reconstruction:Proto-Semitic/%C3%B0i%CA%BEb-,https://en.wiktionary.org/wiki/%E1%8C%85%E1%89%A5,https://en.wiktionary.org/wiki/%D8%B0%D8%A6%D8%A8
